Date,Date,Open,High,Low,Close,Adj Close,Volume
9/7/17,2017,40.522499,40.560001,40.09,40.314999,38.261566,87714000
9/8/17,2017,40.215,40.287498,39.6325,39.657501,37.637562,114446000
9/11/17,2017,40.125,40.512501,39.9725,40.375,38.318501,126323200
9/12/17,2017,40.6525,40.990002,39.692501,40.215,38.166664,286856000
9/13/17,2017,39.967499,39.990002,39.477501,39.912498,37.87957,179629600
9/14/17,2017,39.747501,39.849998,39.522499,39.57,37.554512,95042800
9/15/17,2017,39.6175,40.2425,39.5,39.970001,37.934147,196458400
9/18/17,2017,40.0275,40.125,39.5,39.6675,37.647041,113077600
9/19/17,2017,39.877499,39.942501,39.610001,39.682499,37.661289,83242400
9/20/17,2017,39.474998,39.564999,38.4575,39.017502,37.030151,211805600
9/21/17,2017,38.950001,38.950001,38.1875,38.3475,36.394279,150046800
9/22/17,2017,37.884998,38.067501,37.639999,37.9725,36.038391,186581600
9/25/17,2017,37.497501,37.9575,37.290001,37.637501,35.720455,177549200
9/26/17,2017,37.945,38.48,37.922501,38.285,36.334969,146640000
9/27/17,2017,38.450001,38.68,38.384998,38.557499,36.59359,102016800
9/28/17,2017,38.4725,38.57,38.174999,38.32,36.368179,88022000
9/29/17,2017,38.302502,38.532501,38,38.529999,36.567486,105199200
10/2/17,2017,38.564999,38.612499,38.18,38.452499,36.493935,74795200
10/3/17,2017,38.502499,38.772499,38.477501,38.619999,36.652908,64921200
10/4/17,2017,38.407501,38.465,38.115002,38.369999,36.415638,80655200
10/5/17,2017,38.544998,38.860001,38.512501,38.8475,36.868816,85135200
10/6/17,2017,38.7425,38.872501,38.639999,38.825001,36.847462,69630400
10/9/17,2017,38.952499,39.182499,38.872501,38.959999,36.975594,65051600
10/10/17,2017,39.014999,39.5,38.775002,38.974998,36.989819,62468000
10/11/17,2017,38.9925,39.244999,38.9375,39.137501,37.144051,67622400
10/12/17,2017,39.087502,39.342499,38.932499,39,37.013546,64500400
10/13/17,2017,39.182499,39.32,39.102501,39.247501,37.248444,65576800
10/16/17,2017,39.474998,40,39.412498,39.970001,37.934147,96486000
10/17/17,2017,39.945,40.217499,39.807499,40.1175,38.074127,75989200
10/18/17,2017,40.105,40.177502,39.900002,39.939999,37.905663,65496800
10/19/17,2017,39.1875,39.27,38.755001,38.994999,37.008801,170336800
10/20/17,2017,39.1525,39.4375,38.990002,39.0625,37.072865,95896400
10/23/17,2017,39.2225,39.422501,38.875,39.0425,37.053883,87937200
10/24/17,2017,39.072498,39.355,39.049999,39.275002,37.274548,71028800
10/25/17,2017,39.227501,39.387501,38.817501,39.102501,37.110825,84828400
10/26/17,2017,39.307499,39.4575,39.195,39.352501,37.348087,68002000
10/27/17,2017,39.822498,40.900002,39.674999,40.762501,38.686275,177816800
10/30/17,2017,40.9725,42.017502,40.93,41.68,39.557045,178803200
10/31/17,2017,41.974998,42.412498,41.735001,42.259998,40.107498,144187200
11/1/17,2017,42.467499,42.485001,41.4025,41.7225,39.597374,134551200
11/2/17,2017,41.650002,42.125,41.32,42.0275,39.886841,165573600
11/3/17,2017,43.5,43.564999,42.779999,43.125,40.928448,237594400
11/6/17,2017,43.092499,43.747501,42.93,43.5625,41.34367,140105200
11/7/17,2017,43.477501,43.8125,43.400002,43.702499,41.476524,97446000
