Date,Date.1,Open,High,Low,Close,Adj Close,Volume
9/7/17,2017,46.586498,46.820499,46.181,46.797501,46.797501,24254000
9/8/17,2017,46.824501,46.849499,46.243999,46.325001,46.325001,20230000
9/11/17,2017,46.712502,46.918999,46.346001,46.453999,46.453999,25340000
9/12/17,2017,46.629501,46.674,46.19305,46.6035,46.6035,22688000
9/13/17,2017,46.533001,46.862499,46.493,46.754501,46.754501,22052000
9/14/17,2017,46.5625,46.6385,46.200001,46.255501,46.255501,27952000
9/15/17,2017,46.233002,46.324501,45.818001,46.0145,46.0145,50108000
9/18/17,2017,46.0005,46.104,45.529999,45.75,45.75,26138000
9/19/17,2017,45.870998,46.120998,45.627499,46.0905,46.0905,18734000
9/20/17,2017,46.148998,46.694,46.099998,46.578999,46.578999,33396000
9/21/17,2017,46.650002,46.8265,46.191502,46.622501,46.622501,25812000
9/22/17,2017,46.387501,46.7365,46.324001,46.426498,46.426498,21054000
9/25/17,2017,46.272499,46.32,45.485001,46.0485,46.0485,37136000
9/26/17,2017,46.186001,46.541,46.056999,46.243,46.243,33338000
9/27/17,2017,46.387001,47.494999,46.387001,47.224499,47.224499,44788000
9/28/17,2017,47.068001,47.5345,47.0275,47.474998,47.474998,20406000
9/29/17,2017,47.599998,47.9893,47.5755,47.955502,47.955502,31620000
10/2/17,2017,47.999001,48.126999,47.391998,47.663502,47.663502,25668000
10/3/17,2017,47.700001,47.900002,47.457001,47.8895,47.8895,17766000
10/4/17,2017,47.849998,48.019501,47.5345,47.584,47.584,19048000
10/5/17,2017,47.774502,48.545502,47.758999,48.498001,48.498001,24276000
10/6/17,2017,48.334999,48.973,48.167999,48.9445,48.9445,23478000
10/9/17,2017,49,49.271252,48.8055,48.849998,48.849998,17828000
10/10/17,2017,49,49.078499,48.304001,48.630001,48.630001,19368000
10/11/17,2017,48.686001,49.5355,48.612499,49.462502,49.462502,33866000
10/12/17,2017,49.372501,49.706001,49.25,49.391499,49.391499,25248000
10/13/17,2017,49.599998,49.8605,49.450001,49.484001,49.484001,23396000
10/16/17,2017,49.605,49.695351,49.200001,49.599998,49.599998,18210000
10/17/17,2017,49.5145,49.821999,49.429501,49.609001,49.609001,25804000
10/18/17,2017,49.588501,49.835999,49.348751,49.640499,49.640499,21152000
10/19/17,2017,49.299999,49.444,48.919498,49.2225,49.2225,26272000
10/20/17,2017,49.472,49.549999,49.229,49.41,49.41,23664000
10/23/17,2017,49.476002,49.476002,48.306,48.422501,48.422501,29568000
10/24/17,2017,48.5,48.6115,48.049999,48.527,48.527,24244000
10/25/17,2017,48.418499,48.804501,48.026001,48.6665,48.6665,24226000
10/26/17,2017,49,49.380001,48.610001,48.627998,48.627998,40842000
10/27/17,2017,50.459499,52.419498,50.41,50.963501,50.963501,103354000
10/30/17,2017,50.700001,51.248501,50.375,50.855499,50.855499,41702000
10/31/17,2017,50.761002,51.200001,50.521,50.832001,50.832001,26614000
11/1/17,2017,50.8605,51.483501,50.8475,51.275002,51.275002,27468000
11/2/17,2017,51.088001,51.404499,50.650501,51.278999,51.278999,20980000
11/3/17,2017,51.105499,51.6325,51.015499,51.624001,51.624001,21528000
11/6/17,2017,51.449501,51.7435,51.25,51.294998,51.294998,22504000
11/7/17,2017,51.363499,51.698502,51.2565,51.6665,51.6665,22246000
11/8/17,2017,51.526001,52.176102,51.422501,51.9925,51.9925,21774000
11/9/17,2017,51.699501,51.699501,50.983299,51.563,51.563,24904000
11/10/17,2017,51.323002,51.537998,51.264,51.4035,51.4035,14400000
11/13/17,2017,51.171001,51.578999,51.128502,51.287498,51.287498,17716000
11/14/17,2017,51.129501,51.3405,50.7075,51.299999,51.299999,19184000
11/15/17,2017,50.960499,51.204498,50.771,51.045502,51.045502,17080000
11/16/17,2017,51.125999,51.796001,51.125999,51.625,51.625,22594000
11/17/17,2017,51.7005,51.721001,50.887501,50.954498,50.954498,27942000
11/20/17,2017,51.013,51.130501,50.875,50.918999,50.918999,19070000
11/21/17,2017,51.165501,51.755501,51.132751,51.724499,51.724499,21940000
11/22/17,2017,51.75,51.985298,51.571499,51.798,51.798,14926000
11/24/17,2017,51.793499,52.158901,51.75,52.030499,52.030499,10740000
11/27/17,2017,52,52.772999,51.922001,52.710499,52.710499,26158000
11/28/17,2017,52.754501,53.118752,52,52.370499,52.370499,28488000
11/29/17,2017,52.133999,52.203999,50.782501,51.083,51.083,49188000
11/30/17,2017,51.1185,51.4245,50.75,51.070499,51.070499,34480000
12/1/17,2017,50.790001,51.1245,50.101002,50.508499,50.508499,38192000
12/4/17,2017,50.632999,50.805,49.7785,49.933998,49.933998,38128000
12/5/17,2017,49.797001,51.030499,49.414001,50.2575,50.2575,41346000
12/6/17,2017,50.075001,51.248501,50.056999,50.918999,50.918999,25440000
12/7/17,2017,51.0215,51.712002,50.903549,51.546501,51.546501,29164000
12/8/17,2017,51.8745,52.102501,51.626099,51.852501,51.852501,25816000
12/11/17,2017,51.775002,52.189999,51.602501,52.055,52.055,23856000
12/12/17,2017,51.981499,52.515499,51.684502,52.023998,52.023998,25590000
12/13/17,2017,52.306,52.333248,51.918999,52.030499,52.030499,25654000
12/14/17,2017,52.25,52.924999,52.155499,52.4575,52.4575,31174000
12/15/17,2017,52.730499,53.381001,52.474998,53.209499,53.209499,65518000
